package,category,source,description
progressr,Parallel & performance,CRAN,Unified progress reporting
promises,Miscellaneous utilities,CRAN,Async promises for R
proto,Miscellaneous utilities,CRAN,Prototype object-based programming
ps,Miscellaneous utilities,CRAN,Process utilities
pscl,Statistics & modelling,CRAN,Political science models: zero-inflated hurdle
psych,Statistics & modelling,CRAN,Psychometrics: factor analysis reliability
purrr,Tidyverse & core data,CRAN,Functional programming: map reduce walk
pwr,Statistics & modelling,CRAN,Power analysis for common statistical tests
qap,Maths & numerical,CRAN,Quadratic assignment problem solvers
qdapRegex,Text mining & NLP,CRAN,Regular expression tools for text analysis
qqconf,Statistics & modelling,CRAN,Confidence bands for QQ plots
quadprog,Maths & numerical,CRAN,Quadratic programming
quantreg,Statistics & modelling,CRAN,Quantile regression
R.cache,Miscellaneous utilities,CRAN,Caching with automatic key generation
R.methodsS3,Miscellaneous utilities,CRAN,S3 method utilities
R.oo,Miscellaneous utilities,CRAN,Object-oriented programming with S3
R.utils,Miscellaneous utilities,CRAN,Many utility functions
R6,Miscellaneous utilities,CRAN,Encapsulated object-oriented programming
ragg,Reporting & documents,CRAN,AGG-based graphics device (fast PNG/TIFF)
randomcoloR,Visualisation (ggplot2 extensions),CRAN,Generate random distinct colours
rappdirs,Miscellaneous utilities,CRAN,Platform-appropriate data directories
rbibutils,Reporting & documents,CRAN,Convert bibliography formats
rcmdcheck,Package development & workflow,CRAN,Run R CMD check from R
RColorBrewer,Visualisation (ggplot2 extensions),CRAN,ColorBrewer palettes
Rcpp,Maths & numerical,CRAN,Seamless R and C++ integration
RcppArmadillo,Maths & numerical,CRAN,Armadillo C++ linear algebra
RcppEigen,Maths & numerical,CRAN,Eigen C++ linear algebra
RcppProgress,Maths & numerical,CRAN,Progress bar for Rcpp code
RcppTOML,Maths & numerical,CRAN,TOML config parsing via Rcpp
RCurl,Miscellaneous utilities,CRAN,General network client interface (libcurl)
Rdpack,Reporting & documents,CRAN,Insert references in Rd documentation
reactable,Reporting & documents,CRAN,Interactive HTML tables
reactR,Reporting & documents,CRAN,React.js bindings for R
readr,Tidyverse & core data,CRAN,Fast CSV/TSV reading
readxl,Data import / export,CRAN,Read Excel .xls and .xlsx files
reformulas,Statistics & modelling,CRAN,Formula utilities for mixed-model packages
registry,Miscellaneous utilities,CRAN,Registry infrastructure for R
rematch,Miscellaneous utilities,CRAN,Match regular expressions with a nicer API
rematch2,Miscellaneous utilities,CRAN,Tidy output from regular expression matching
remotes,Package development & workflow,CRAN,Install packages from remote sources
rentrez,Genomic ranges & annotation,CRAN,NCBI Entrez utilities
repr,Miscellaneous utilities,CRAN,Serialisable representations for Jupyter
reprex,Package development & workflow,CRAN,Reproducible examples for sharing
reshape,Data wrangling utilities,CRAN,Even older reshape (predecessor to reshape2)
reshape2,Data wrangling utilities,CRAN,Melt and cast data (older use tidyr)
restfulr,Miscellaneous utilities,CRAN,R interface to RESTful web services
reticulate,Miscellaneous utilities,CRAN,Python interface for R
rex,Miscellaneous utilities,CRAN,Friendly regular expressions
rgl,Visualisation (other),CRAN,3D interactive visualisation
RhpcBLASctl,Parallel & performance,CRAN,Control number of BLAS threads
rio,Data import / export,CRAN,Swiss-army import/export: delegates by file extension
rlist,Data import / export,CRAN,Tools for working with lists
rlang,Tidyverse & core data,CRAN,Low-level R language tools used by tidyverse
rmarkdown,Reporting & documents,CRAN,R Markdown document compilation
Rmisc,Statistics & modelling,CRAN,Confidence intervals SE multi-plot layouts
Rmpfr,Maths & numerical,CRAN,Arbitrary precision using MPFR
rngtools,Parallel & performance,CRAN,Utilities for RNG streams
robustbase,Statistics & modelling,CRAN,Basic robust statistics
ROCR,Statistics & modelling,CRAN,ROC curve analysis and performance visualisation
roxygen2,Package development & workflow,CRAN,Documentation from R comments
rprojroot,Package development & workflow,CRAN,Find project root directory
rsample,Data wrangling utilities,CRAN,Resampling infrastructure for tidymodels
Rsolnp,Statistics & modelling,CRAN,Nonlinear optimisation (SQP)
RSQLite,Data import / export,CRAN,SQLite database driver
rstatix,Statistics & modelling,CRAN,Pipe-friendly statistical tests
rstudioapi,Miscellaneous utilities,CRAN,Access RStudio API
RUnit,Package development & workflow,CRAN,Unit testing framework (older)
rversions,Package development & workflow,CRAN,Query R and Bioc version history
rvest,Miscellaneous utilities,CRAN,Web scraping
s2,Spatial & GIS,CRAN,Spherical geometry (Google S2 library)
S7,Miscellaneous utilities,CRAN,New OOP system for R (successor to R5/S4)
sandwich,Statistics & modelling,CRAN,Robust covariance matrix estimators
sass,Reporting & documents,CRAN,Sass CSS preprocessor for R
scales,Visualisation (ggplot2 extensions),CRAN,Scale functions for ggplot2 axes and legends
scattermore,Visualisation (ggplot2 extensions),CRAN,Fast rasterised scatter plots
scatterpie,Visualisation (ggplot2 extensions),CRAN,Pie chart scatter plots
scatterplot3d,Visualisation (other),CRAN,Static 3D scatter plots
scCustomize,Machine learning & dimensionality reduction,CRAN,Customised Seurat/scRNA visualisation
scrime,Statistics & modelling,CRAN,Analysis of high-dimensional categorical data
scs,Maths & numerical,CRAN,Splitting conic solver
sctransform,Machine learning & dimensionality reduction,CRAN,Variance-stabilising transformation for scRNA
segmented,Statistics & modelling,CRAN,Segmented/breakpoint regression
selectr,Miscellaneous utilities,CRAN,CSS selector to XPath translator
seriation,Machine learning & dimensionality reduction,CRAN,Seriation/ordering for matrices and data
sessioninfo,Package development & workflow,CRAN,Print session info
Seurat,Single-cell & genomics,CRAN,Single-cell RNA-seq analysis
SeuratObject,Single-cell & genomics,CRAN,Data structures for Seurat
sf,Spatial & GIS,CRAN,Simple features: vector spatial data
shades,Visualisation (ggplot2 extensions),CRAN,Simple colour manipulation
shadowtext,Visualisation (ggplot2 extensions),CRAN,Text geom with drop shadow
shape,Visualisation (other),CRAN,Functions for plotting shapes
shiny,Reporting & documents,CRAN,Interactive web applications
shinythemes,Reporting & documents,CRAN,Bootstrap themes for Shiny
sitmo,Maths & numerical,CRAN,Parallel RNG (for Rcpp)
slam,Maths & numerical,CRAN,Sparse lightweight arrays and matrices
smplot2,Visualisation (ggplot2 extensions),CRAN,Summarise and visualise data with ggplot2
sn,Statistics & modelling,CRAN,Skew-normal and skew-t distributions
sna,Network & graph analysis,CRAN,Social network analysis
SnowballC,Text mining & NLP,CRAN,Snowball stemmer
sourcetools,Miscellaneous utilities,CRAN,Read and tokenise R source code
sp,Spatial & GIS,CRAN,Older spatial data classes
spaa,Spatial & GIS,CRAN,Species association and diversity analysis
spam,Spatial & GIS,CRAN,Sparse matrix operations
SparseM,Maths & numerical,CRAN,Sparse matrix classes and methods
spatstat.data,Spatial & GIS,CRAN,Datasets for spatstat
spatstat.explore,Spatial & GIS,CRAN,EDA for spatial point patterns
spatstat.geom,Spatial & GIS,CRAN,Geometry for spatstat
spatstat.random,Spatial & GIS,CRAN,Simulation for spatstat
spatstat.sparse,Spatial & GIS,CRAN,Sparse arrays for spatstat
spatstat.univar,Spatial & GIS,CRAN,Univariate stats for spatstat
spatstat.utils,Spatial & GIS,CRAN,Utilities for spatstat
spData,Spatial & GIS,CRAN,Spatial datasets
spdep,Spatial & GIS,CRAN,Spatial dependence: weights tests models
speedglm,Statistics & modelling,CRAN,Fast fitting of GLMs for large datasets
splus2R,Statistics & modelling,CRAN,Supplement S-PLUS functionality in R
sqldf,Data import / export,CRAN,SQL queries on R data frames
ssize.fdr,Statistics & modelling,CRAN,Sample size for microarray FDR
statmod,Statistics & modelling,CRAN,Statistical modelling utilities
statnet.common,Network & graph analysis,CRAN,Utilities shared by statnet packages
stringdist,Text mining & NLP,CRAN,String distance and approximate matching
stringi,Text mining & NLP,CRAN,Comprehensive string manipulation (ICU)
stringr,Tidyverse & core data,CRAN,String manipulation built on stringi
styler,Package development & workflow,CRAN,Non-invasive code formatting
survey,Statistics & modelling,CRAN,Analysis of complex survey designs
svglite,Reporting & documents,CRAN,SVG graphics device
sys,Miscellaneous utilities,CRAN,System commands and environment
systemfonts,Reporting & documents,CRAN,System font discovery
syuzhet,Text mining & NLP,CRAN,Sentiment analysis and narrative arc
tensor,Maths & numerical,CRAN,Tensor products of arrays
tensorA,Maths & numerical,CRAN,Tensor operations
terra,Spatial & GIS,CRAN,Raster and vector spatial analysis
textclean,Text mining & NLP,CRAN,Text cleaning and normalisation
textshape,Text mining & NLP,CRAN,Reshape text data
textshaping,Reporting & documents,CRAN,Text shaping (HarfBuzz/FreeType)
TFisher,Statistics & modelling,CRAN,Fisher's method for combining p-values
TH.data,Statistics & modelling,CRAN,Datasets for multcomp and other packages
tibble,Tidyverse & core data,CRAN,Modern data frame replacement
tidygam,Statistics & modelling,CRAN,Tidy tools for GAM models
tidygraph,Network & graph analysis,CRAN,Tidy API for graph manipulation
tidyr,Tidyverse & core data,CRAN,Reshaping data: pivot_wider pivot_longer nest
tidyselect,Tidyverse & core data,CRAN,Select columns with tidy syntax
tidytext,Text mining & NLP,CRAN,Tidy text mining framework
tidyverse,Tidyverse & core data,CRAN,Meta-package loading ggplot2 dplyr tidyr readr purrr etc.
timechange,Time series & forecasting,CRAN,Arithmetic on date-time objects
timeDate,Time series & forecasting,CRAN,Financial calendar/timezone handling
tinytex,Reporting & documents,CRAN,Lightweight LaTeX installation manager
tm,Text mining & NLP,CRAN,Text mining infrastructure
tokenizers,Text mining & NLP,CRAN,Fast text tokenisation
transformr,Visualisation (other),CRAN,Smooth transformation of shapes for gganimate
treemap,Visualisation (other),CRAN,Treemap visualisations
treemapify,Visualisation (other),CRAN,ggplot2-based treemaps
truncnorm,Statistics & modelling,CRAN,Truncated normal distribution
TSP,Maths & numerical,CRAN,Travelling salesman problem solvers
tweenr,Visualisation (other),CRAN,Tween data for smooth animations (gganimate)
tzdb,Miscellaneous utilities,CRAN,Time zone database
ucminf,Statistics & modelling,CRAN,Unconstrained nonlinear optimisation
umap,Machine learning & dimensionality reduction,CRAN,Uniform Manifold Approximation and Projection
units,Spatial & GIS,CRAN,Measurement units for R vectors
UpSetR,Visualisation (other),CRAN,UpSet intersection plots
upstartr,Miscellaneous utilities,CRAN,Startup utilities (verify source)
urlchecker,Package development & workflow,CRAN,Check URLs in package documentation
usethis,Package development & workflow,CRAN,Automate package/project setup
utf8,Miscellaneous utilities,CRAN,UTF-8 text processing
uuid,Miscellaneous utilities,CRAN,Generate UUIDs
uwot,Machine learning & dimensionality reduction,CRAN,Fast UMAP implementation
V8,Miscellaneous utilities,CRAN,JavaScript engine (V8) for R
vctrs,Tidyverse & core data,CRAN,Vector type system underlying tidyverse
VGAM,Statistics & modelling,CRAN,Vector GLMs and GAMs
vipor,Visualisation (ggplot2 extensions),CRAN,Offset points (used by ggbeeswarm)
viridis,Visualisation (ggplot2 extensions),CRAN,Viridis perceptually-uniform palettes
viridisLite,Visualisation (ggplot2 extensions),CRAN,Lightweight viridis palette functions
vroom,Data import / export,CRAN,Very fast delimited file reading
waldo,Package development & workflow,CRAN,Find differences between R objects
webshot,Reporting & documents,CRAN,Screenshot web pages/Shiny apps
WGCNA,Bulk RNA-seq & differential expression,CRAN,Weighted gene co-expression network analysis
whisker,Package development & workflow,CRAN,Mustache templating
withr,Miscellaneous utilities,CRAN,Run code with temporarily changed settings
wk,Spatial & GIS,CRAN,Well-known binary/text geometry
wordcloud,Text mining & NLP,CRAN,Word cloud plots
writexl,Data import / export,CRAN,Write Excel files without Java dependency
xfun,Reporting & documents,CRAN,Utility functions for knitr/xfun
XML,Data import / export,CRAN,Older XML parsing library
xml2,Miscellaneous utilities,CRAN,Parse and generate XML
xmlparsedata,Package development & workflow,CRAN,Parse R code as XML
xopen,Miscellaneous utilities,CRAN,Open files/URLs in default app
xtable,Reporting & documents,CRAN,Export tables to LaTeX and HTML
yaml,Data import / export,CRAN,Read/write YAML files
yulab.utils,Visualisation (ggplot2 extensions),CRAN,Utility functions for Yu lab ggplot2 packages
zip,Miscellaneous utilities,CRAN,Create/read ZIP archives
corpcor,Statistics & modelling,CRAN,Efficient estimation of covariance and partial correlation
locfdr,Statistics & modelling,CRAN,Local false discovery rate estimation
,,,
,,,
nnls,Maths & numerical,CRAN,Non-negative least squares
readr,Tidyverse & core data,CRAN,Fast CSV/TSV reading
testthat,Package development & workflow,CRAN,Unit testing framework
bioc::affy,Bulk RNA-seq & differential expression,Bioconductor,Affymetrix microarray processing
bioc::affyio,Bulk RNA-seq & differential expression,Bioconductor,Read Affymetrix CEL files
bioc::annotate,Genomic ranges & annotation,Bioconductor,Annotation for microarray data
bioc::AnnotationDbi,Genomic ranges & annotation,Bioconductor,Annotation database interface
bioc::AnnotationHub,Genomic ranges & annotation,Bioconductor,Access Bioc annotation resources
bioc::assorthead,Single-cell & genomics,Bioconductor,Header-only C++ libs for Bioc
bioc::basilisk,Single-cell & genomics,Bioconductor,Python environment management for Bioc
bioc::basilisk.utils,Single-cell & genomics,Bioconductor,Utilities for basilisk
bioc::batchelor,Single-cell & genomics,Bioconductor,Batch correction for single-cell data
bioc::beachmat,Single-cell & genomics,Bioconductor,C++ matrix access for Bioc
bioc::Biobase,Single-cell & genomics,Bioconductor,Base Bioc classes (ExpressionSet)
bioc::BiocFileCache,Genomic ranges & annotation,Bioconductor,Local file cache for Bioc resources
bioc::BiocGenerics,Single-cell & genomics,Bioconductor,Generic functions for Bioc
bioc::BiocIO,Genomic ranges & annotation,Bioconductor,I/O utilities for Bioc
bioc::BiocNeighbors,Single-cell & genomics,Bioconductor,Nearest neighbour methods for Bioc
bioc::BiocParallel,Single-cell & genomics,Bioconductor,Parallel computing for Bioc
bioc::BiocSingular,Single-cell & genomics,Bioconductor,SVD/PCA methods for Bioc
bioc::BiocVersion,Genomic ranges & annotation,Bioconductor,Current Bioc version metadata
bioc::biocViews,Genomic ranges & annotation,Bioconductor,Bioc package categorisation vocabulary
bioc::bioDist,Bulk RNA-seq & differential expression,Bioconductor,Distance measures for genomic data
bioc::biomaRt,Genomic ranges & annotation,Bioconductor,Query BioMart databases (Ensembl etc.)
bioc::Biostrings,Genomic ranges & annotation,Bioconductor,Efficient biological sequence handling
bioc::clusterProfiler,Pathway & functional enrichment,Bioconductor,GO and KEGG enrichment analysis
bioc::DelayedArray,Single-cell & genomics,Bioconductor,Array-like objects with delayed computation
bioc::DelayedMatrixStats,Single-cell & genomics,Bioconductor,Stats for DelayedMatrix objects
bioc::dir.expiry,Miscellaneous utilities,Bioconductor,Manage expiry of cached directories
bioc::DOSE,Pathway & functional enrichment,Bioconductor,Disease ontology enrichment analysis
bioc::edgeR,Bulk RNA-seq & differential expression,Bioconductor,Differential expression for count data
bioc::EnhancedVolcano,Bulk RNA-seq & differential expression,Bioconductor,Publication-ready volcano plots
bioc::enrichplot,Pathway & functional enrichment,Bioconductor,Visualise clusterProfiler results
bioc::ExperimentHub,Genomic ranges & annotation,Bioconductor,Access Bioc experiment datasets
bioc::fgsea,Pathway & functional enrichment,Bioconductor,Fast gene set enrichment analysis
bioc::genefilter,Bulk RNA-seq & differential expression,Bioconductor,Filtering genes for Bioc
bioc::GenomeInfoDb,Genomic ranges & annotation,Bioconductor,Chromosome/genome metadata
bioc::GenomeInfoDbData,Genomic ranges & annotation,Bioconductor,Data for GenomeInfoDb
bioc::GenomicAlignments,Genomic ranges & annotation,Bioconductor,Read alignments and coverage
bioc::GenomicFeatures,Genomic ranges & annotation,Bioconductor,Gene model/transcript annotation
bioc::GenomicRanges,Genomic ranges & annotation,Bioconductor,Core Bioc genomic interval class
bioc::GEOquery,Genomic ranges & annotation,Bioconductor,Download data from NCBI GEO
bioc::GO.db,Pathway & functional enrichment,Bioconductor,Gene Ontology annotation database
bioc::GOSemSim,Pathway & functional enrichment,Bioconductor,GO semantic similarity measures
bioc::graph,Network & graph analysis,Bioconductor,Graph data structures for Bioc
bioc::h5mread,Single-cell & genomics,Bioconductor,Fast HDF5 reading for Bioc
bioc::HDF5Array,Single-cell & genomics,Bioconductor,HDF5 backend for DelayedArray
bioc::HDO.db,Pathway & functional enrichment,Bioconductor,Human Disease Ontology database
bioc::HSMMSingleCell,Single-cell & genomics,Bioconductor,Skeletal muscle single-cell dataset
bioc::illuminaio,Bulk RNA-seq & differential expression,Bioconductor,Read Illumina IDAT files
bioc::impute,Bulk RNA-seq & differential expression,Bioconductor,KNN imputation for gene expression
bioc::interactiveDisplayBase,Genomic ranges & annotation,Bioconductor,Base for interactive Bioc displays
bioc::IRanges,Genomic ranges & annotation,Bioconductor,Integer range infrastructure
bioc::KEGGREST,Pathway & functional enrichment,Bioconductor,Access KEGG REST API
bioc::limma,Bulk RNA-seq & differential expression,Bioconductor,Linear models for microarray/RNA-seq DE
bioc::MatrixGenerics,Single-cell & genomics,Bioconductor,Generic matrix stats functions
bioc::minfi,Bulk RNA-seq & differential expression,Bioconductor,Methylation array analysis (450k EPIC)
bioc::MOFA2,Single-cell & genomics,Bioconductor,Multi-omics factor analysis v2
bioc::MOFAdata,Single-cell & genomics,Bioconductor,Datasets for MOFA2
bioc::monocle,Single-cell & genomics,Bioconductor,Trajectory analysis for single-cell (v2)
bioc::multtest,Bulk RNA-seq & differential expression,Bioconductor,Multiple testing corrections
bioc::org.Hs.eg.db,Pathway & functional enrichment,Bioconductor,Human gene annotation (Entrez)
bioc::preprocessCore,Bulk RNA-seq & differential expression,Bioconductor,Normalisation routines (quantile etc.)
bioc::pvca,Bulk RNA-seq & differential expression,Bioconductor,Principal variance component analysis
bioc::qusage,Bulk RNA-seq & differential expression,Bioconductor,Quantitative set analysis for gene expression
bioc::qvalue,Statistics & modelling,Bioconductor,Q-value FDR estimation
bioc::RBGL,Network & graph analysis,Bioconductor,Graph algorithms (uses BGL)
bioc::reactome.db,Pathway & functional enrichment,Bioconductor,Reactome pathway annotations
bioc::ResidualMatrix,Single-cell & genomics,Bioconductor,Delayed residual matrix for Bioc
bioc::Rgraphviz,Network & graph analysis,Bioconductor,Graphviz layouts for Bioc graphs
bioc::rhdf5,Single-cell & genomics,Bioconductor,HDF5 R interface
bioc::rhdf5filters,Single-cell & genomics,Bioconductor,HDF5 compression filters
bioc::Rhdf5lib,Single-cell & genomics,Bioconductor,HDF5 C library for Bioc
bioc::Rhtslib,Genomic ranges & annotation,Bioconductor,HTSlib C library for Bioc
bioc::rrvgo,Pathway & functional enrichment,Bioconductor,Reduce and visualise GO terms
bioc::Rsamtools,Genomic ranges & annotation,Bioconductor,BAM/SAM file I/O
bioc::rtracklayer,Genomic ranges & annotation,Bioconductor,Import/export genomic tracks (BED GFF etc.)
bioc::S4Arrays,Single-cell & genomics,Bioconductor,S4 array infrastructure
bioc::S4Vectors,Genomic ranges & annotation,Bioconductor,S4 vector classes for Bioc
bioc::ScaledMatrix,Single-cell & genomics,Bioconductor,Delayed scaled matrix for Bioc
bioc::scuttle,Single-cell & genomics,Bioconductor,Utility functions for single-cell analysis
bioc::siggenes,Bulk RNA-seq & differential expression,Bioconductor,Multiple testing and FDR (SAM/B-statistic)
bioc::SingleCellExperiment,Single-cell & genomics,Bioconductor,Core Bioc single-cell data container
bioc::slingshot,Single-cell & genomics,Bioconductor,Trajectory inference for single-cell data
bioc::SparseArray,Single-cell & genomics,Bioconductor,Sparse array class for Bioc
bioc::sparseMatrixStats,Single-cell & genomics,Bioconductor,Stats for sparse matrices
bioc::STRINGdb,Pathway & functional enrichment,Bioconductor,STRING protein interaction network
bioc::SummarizedExperiment,Single-cell & genomics,Bioconductor,Core Bioc genomics data container
bioc::tidyHeatmap,Visualisation (other),Bioconductor,Tidy heatmaps using ComplexHeatmap
bioc::tradeSeq,Single-cell & genomics,Bioconductor,Trajectory-based differential expression
bioc::TrajectoryUtils,Single-cell & genomics,Bioconductor,Utilities for trajectory analysis
bioc::UCSC.utils,Genomic ranges & annotation,Bioconductor,Utilities for UCSC genome browser data
bioc::XVector,Genomic ranges & annotation,Bioconductor,Shared memory string storage
bioc::zlibbioc,Genomic ranges & annotation,Bioconductor,zlib compression for Bioc
BIGslu/BIGpicture,Visualisation (other),GitHub,Visualisation tools (BIGslu)
jokergoo/ComplexHeatmap,Visualisation (other),GitHub,Feature-rich heatmaps
BenaroyaResearch/countSubsetNorm,Bulk RNA-seq & differential expression,GitHub,Count subsetting and normalisation
davidsjoberg/ggsankey,Visualisation (ggplot2 extensions),GitHub,Sankey/alluvial diagrams
basilinb/HoardR,Package development & workflow,GitHub,Package management helpers
BIGslu/kimma,Bulk RNA-seq & differential expression,GitHub,Linear mixed models for RNA-seq
variani/lme4qtl,Statistics & modelling,GitHub,QTL mapping with lme4
UWISDOM/madRich,Immune & clinical data,GitHub,Data utilities
BenaroyaResearch/miscHelpers,Immune & clinical data,GitHub,Miscellaneous helper functions
igordot/msigdbdf,Pathway & functional enrichment,GitHub,MSigDB gene sets as data frames
xuranw/MuSiC,Single-cell & genomics,GitHub,Bulk RNA deconvolution with scRNA reference
renozao/pkgmaker@develop,Package development & workflow,GitHub,Package development helpers (develop branch)
BIGslu/pullString,Immune & clinical data,GitHub,String parsing utilities
BIGslu/RNAetc,Bulk RNA-seq & differential expression,GitHub,RNA-seq utilities
meichendong/SCDC,Single-cell & genomics,GitHub,Single-cell deconvolution
BIGslu/SEARchways,Pathway & functional enrichment,GitHub,Pathway enrichment tools
stefanocoretta/tidymv,Statistics & modelling,GitHub,Tidy marginal/conditional smooths for GAMs
renozao/xbioc,Package development & workflow,GitHub,Bioc package development extras
BenaroyaResearch/annotables,Genomic ranges & annotation,GitHub,Gene annotation tables
BenaroyaResearch/apird,Immune & clinical data,GitHub,API wrapper for immunology data
BenaroyaResearch/RNAseQC,Bulk RNA-seq & differential expression,GitHub,RNA-seq QC metrics